# NetGuard extensive enterprise topology
# Format:
# NODE <id> <name> <type> <sensitivity 1-5> <firewall 0/1>
# EDGE <from> <to> <latency_ms> <bandwidth_mbps> <U/D>

# Core and edge routers
NODE 1 CORE1 router 4 1
NODE 2 CORE2 router 4 1
NODE 3 EDGE1 router 3 1
NODE 4 EDGE2 router 3 1
NODE 5 DIST1 router 3 0
NODE 6 DIST2 router 3 0
NODE 7 DIST3 router 3 0
NODE 8 DIST4 router 3 0

# Security appliances
NODE 9 FW_EDGE firewall 5 1
NODE 10 FW_DB firewall 5 1
NODE 11 FW_CLOUD firewall 4 1
NODE 12 IDS1 firewall 4 1
NODE 13 WAF1 firewall 4 1

# Public and application services
NODE 14 WEB1 server 3 1
NODE 15 WEB2 server 3 1
NODE 16 API1 server 4 1
NODE 17 API2 server 4 1
NODE 18 AUTH1 server 5 1
NODE 19 CACHE1 server 2 0
NODE 20 CACHE2 server 2 0
NODE 21 MAIL1 server 4 1
NODE 22 DNS1 server 4 1

# Databases and storage
NODE 23 DB_MAIN database 5 1
NODE 24 DB_REPL database 5 1
NODE 25 DB_AUDIT database 5 1
NODE 26 FILE1 server 4 1
NODE 27 BACKUP1 server 5 1
NODE 28 VAULT1 database 5 1

# Cloud and remote resources
NODE 29 CLOUD_GW router 4 1
NODE 30 SAAS1 server 3 0
NODE 31 CLOUD_DB database 5 1
NODE 32 VPN_HUB router 4 1
NODE 33 BRANCH1 router 2 0
NODE 34 BRANCH2 router 2 0
NODE 35 BRANCH3 router 2 0

# Users and admin endpoints
NODE 36 ADMIN1 admin 5 1
NODE 37 ADMIN2 admin 5 1
NODE 38 SOC1 admin 5 1
NODE 39 HR1 endpoint 2 0
NODE 40 FIN1 endpoint 4 0
NODE 41 DEV1 endpoint 3 0
NODE 42 DEV2 endpoint 3 0
NODE 43 SALES1 endpoint 1 0
NODE 44 SALES2 endpoint 1 0
NODE 45 IOT1 endpoint 2 0
NODE 46 IOT2 endpoint 2 0

# Backbone
EDGE CORE1 CORE2 1 400 U
EDGE CORE1 EDGE1 2 300 U
EDGE CORE2 EDGE2 2 300 U
EDGE EDGE1 EDGE2 3 180 U
EDGE CORE1 DIST1 2 220 U
EDGE CORE1 DIST2 3 220 U
EDGE CORE2 DIST3 2 220 U
EDGE CORE2 DIST4 3 220 U
EDGE DIST1 DIST2 4 120 U
EDGE DIST3 DIST4 4 120 U
EDGE DIST2 DIST3 5 100 U

# Perimeter and public services
EDGE EDGE1 FW_EDGE 1 250 U
EDGE EDGE2 FW_EDGE 1 250 U
EDGE FW_EDGE WAF1 1 220 U
EDGE WAF1 WEB1 2 180 U
EDGE WAF1 WEB2 2 180 U
EDGE WEB1 API1 3 140 U
EDGE WEB2 API2 3 140 U
EDGE API1 API2 2 100 U
EDGE API1 AUTH1 2 120 U
EDGE API2 AUTH1 2 120 U
EDGE API1 CACHE1 1 160 U
EDGE API2 CACHE2 1 160 U
EDGE FW_EDGE DNS1 1 80 U
EDGE FW_EDGE MAIL1 2 90 U
EDGE IDS1 FW_EDGE 1 100 U

# Data center
EDGE DIST2 FW_DB 2 200 U
EDGE DIST3 FW_DB 2 200 U
EDGE FW_DB DB_MAIN 2 180 U
EDGE FW_DB DB_REPL 3 150 U
EDGE FW_DB DB_AUDIT 4 120 U
EDGE DB_MAIN DB_REPL 2 160 U
EDGE DB_MAIN DB_AUDIT 5 90 U
EDGE DB_AUDIT VAULT1 4 70 U
EDGE DIST4 FILE1 3 110 U
EDGE FILE1 BACKUP1 8 80 U
EDGE BACKUP1 VAULT1 6 70 U
EDGE AUTH1 VAULT1 4 80 D

# Cloud and VPN
EDGE CORE2 FW_CLOUD 2 180 U
EDGE FW_CLOUD CLOUD_GW 2 160 U
EDGE CLOUD_GW SAAS1 18 80 U
EDGE CLOUD_GW CLOUD_DB 24 70 U
EDGE CLOUD_DB DB_REPL 28 60 D
EDGE CORE1 VPN_HUB 2 160 U
EDGE VPN_HUB BRANCH1 18 70 U
EDGE VPN_HUB BRANCH2 24 60 U
EDGE VPN_HUB BRANCH3 30 50 U
EDGE BRANCH1 BRANCH2 35 30 U

# Admin and user networks
EDGE DIST1 ADMIN1 2 100 U
EDGE DIST1 SOC1 2 100 U
EDGE DIST2 ADMIN2 3 100 U
EDGE ADMIN1 VAULT1 5 60 D
EDGE ADMIN2 DB_MAIN 4 70 D
EDGE SOC1 IDS1 2 90 U
EDGE DIST1 HR1 2 90 U
EDGE DIST2 FIN1 2 90 U
EDGE DIST3 DEV1 2 90 U
EDGE DIST3 DEV2 2 90 U
EDGE DIST4 SALES1 2 80 U
EDGE DIST4 SALES2 2 80 U
EDGE DIST4 IOT1 3 30 U
EDGE DIST4 IOT2 3 30 U

# Branch users
EDGE BRANCH1 WEB1 22 45 U
EDGE BRANCH1 HR1 20 35 U
EDGE BRANCH2 FIN1 26 35 U
EDGE BRANCH2 SAAS1 32 25 U
EDGE BRANCH3 SALES1 34 25 U
EDGE BRANCH3 SALES2 34 25 U

# Redundant alternate paths
EDGE DEV1 API1 6 60 U
EDGE DEV2 API2 6 60 U
EDGE FIN1 DB_AUDIT 9 40 D
EDGE HR1 MAIL1 5 50 U
EDGE IOT1 IDS1 8 25 U
EDGE IOT2 IDS1 8 25 U
