# NetGuard sample topology
# Format:
# NODE <id> <name> <type> <sensitivity 1-5> <firewall 0/1>
# EDGE <from> <to> <latency_ms> <bandwidth_mbps> <U/D>
NODE 1 R1 router 2 0
NODE 2 R2 router 2 0
NODE 3 R3 router 3 0
NODE 4 R4 router 3 0
NODE 5 R5 router 2 1
NODE 6 R6 router 2 0
NODE 7 R7 router 4 0
NODE 8 R8 router 2 1
NODE 9 R9 router 3 0
NODE 10 R10 router 2 1
NODE 11 R11 router 2 0
NODE 12 R12 endpoint 3 0
NODE 13 WEB1 server 3 1
NODE 14 WEB2 server 2 0
NODE 15 DB1 database 5 1
NODE 16 DB2 database 5 0
NODE 17 ADM1 admin 5 1
NODE 18 EMP1 endpoint 1 0
NODE 19 EMP2 endpoint 1 0
NODE 20 FW1 firewall 4 1
EDGE R1 R2 2 80 U
EDGE R1 R3 3 90 U
EDGE R2 R4 4 70 U
EDGE R3 R4 2 50 U
EDGE R3 R7 3 60 U
EDGE R3 R8 4 80 U
EDGE R4 R5 2 70 U
EDGE R4 R9 5 40 U
EDGE R5 R6 2 80 U
EDGE R6 R10 4 60 U
EDGE R7 R12 4 55 U
EDGE R8 R10 3 90 U
EDGE R9 R11 3 50 U
EDGE R10 R12 4 90 U
EDGE R11 R12 3 70 U
EDGE R1 WEB1 2 100 U
EDGE R2 WEB2 3 100 U
EDGE R10 DB1 2 120 U
EDGE R11 DB2 4 80 U
EDGE R5 ADM1 3 70 U
EDGE R8 FW1 1 150 U
EDGE FW1 DB1 2 150 U
EDGE FW1 ADM1 2 120 U
EDGE R12 EMP1 2 60 U
EDGE R12 EMP2 2 60 U
EDGE WEB1 R7 6 45 U
EDGE WEB2 R9 4 50 U
EDGE R6 R7 5 50 U
EDGE R8 R9 6 45 U
EDGE R10 R11 3 70 U
EDGE R5 R8 4 60 U
EDGE R2 R6 6 55 U
EDGE R7 DB2 7 35 U
EDGE R9 DB2 2 75 U
